variant_code,work_code,interval_km,interval_months,interval_source
vmm-cdb469302ad3726074c444585ee3f8b63171c9b001769785fc93ac8fc2964847,CABIN_FILTER,,24,"OEM_MODEL_REFERENCE | Model 3 current EU manual; normal use; brake CHECK, not replacement. https://www.tesla.com/ownersmanual/model3/en_eu/GUID-E95DAAD9-646E-4249-9930-B109ED7B1D91.html"
vmm-65ab1b9742930c94b6f34865812965b630b141ed1186381dc42e6ffe2e2d9ef5,OIL_SERVICE,15000,12,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-RAV4-CRO-2021.pdf
vmm-65ab1b9742930c94b6f34865812965b630b141ed1186381dc42e6ffe2e2d9ef5,BRAKE_FLUID,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-RAV4-CRO-2021.pdf
vmm-65ab1b9742930c94b6f34865812965b630b141ed1186381dc42e6ffe2e2d9ef5,AIR_FILTER,60000,48,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-RAV4-CRO-2021.pdf
vmm-65ab1b9742930c94b6f34865812965b630b141ed1186381dc42e6ffe2e2d9ef5,CABIN_FILTER,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-RAV4-CRO-2021.pdf
vmm-d8cf3a82b340e84b4ebfbb145cb2c6fc5101235d47853be2fe72d6556a728d34,OIL_SERVICE,15000,12,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-RAV4-CRO-2021.pdf
vmm-d8cf3a82b340e84b4ebfbb145cb2c6fc5101235d47853be2fe72d6556a728d34,BRAKE_FLUID,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-RAV4-CRO-2021.pdf
vmm-d8cf3a82b340e84b4ebfbb145cb2c6fc5101235d47853be2fe72d6556a728d34,AIR_FILTER,60000,48,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-RAV4-CRO-2021.pdf
vmm-d8cf3a82b340e84b4ebfbb145cb2c6fc5101235d47853be2fe72d6556a728d34,CABIN_FILTER,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-RAV4-CRO-2021.pdf
vmm-55ce6ca3a0293da6d9c514453a070a89744a851eb314f211448e7b57903cb799,OIL_SERVICE,15000,12,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-RAV4-CRO-2021.pdf
vmm-55ce6ca3a0293da6d9c514453a070a89744a851eb314f211448e7b57903cb799,BRAKE_FLUID,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-RAV4-CRO-2021.pdf
vmm-55ce6ca3a0293da6d9c514453a070a89744a851eb314f211448e7b57903cb799,AIR_FILTER,60000,48,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-RAV4-CRO-2021.pdf
vmm-55ce6ca3a0293da6d9c514453a070a89744a851eb314f211448e7b57903cb799,CABIN_FILTER,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-RAV4-CRO-2021.pdf
vmm-8daa7e8c28b673e3f06b6c0f2a2a161b4b5563d236ac6baf5e3f2cde9c6bc4fa,OIL_SERVICE,15000,12,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-Yaris-CRO-2021.pdf
vmm-8daa7e8c28b673e3f06b6c0f2a2a161b4b5563d236ac6baf5e3f2cde9c6bc4fa,BRAKE_FLUID,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-Yaris-CRO-2021.pdf
vmm-8daa7e8c28b673e3f06b6c0f2a2a161b4b5563d236ac6baf5e3f2cde9c6bc4fa,AIR_FILTER,60000,48,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-Yaris-CRO-2021.pdf
vmm-8daa7e8c28b673e3f06b6c0f2a2a161b4b5563d236ac6baf5e3f2cde9c6bc4fa,CABIN_FILTER,30000,24,OEM_MODEL_REFERENCE | HR HEV plan 2021; generation match is not a VIN confirmation. https://www.toyotaadria.com/hr/pdf/cjenici_servis/2021/plan-servis-Yaris-CRO-2021.pdf
