code,work_code,phrase,weight,active,basis
ac-ds1-clutch-kit-3,CLUTCH_KIT,okretaji rastu bez ubrzanja,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-clutch-dmf-1,CLUTCH_DMF,dvomaseni zamasnjak,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-clutch-dmf-2,CLUTCH_DMF,lupanje pri gasenju,3,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-clutch-dmf-3,CLUTCH_DMF,vibracije spojke,3,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-water-pump-1,WATER_PUMP,curi vodena pumpa,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-water-pump-2,WATER_PUMP,curenje kod pumpe,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-water-pump-3,WATER_PUMP,gubi rashladnu tekucinu,2,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-thermostat-1,THERMOSTAT,motor se ne zagrijava,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-thermostat-2,THERMOSTAT,temperatura pada u voznji,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-thermostat-3,THERMOSTAT,termostat,3,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-lambda-sensor-1,LAMBDA_SENSOR,greska lambda sonde,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-lambda-sensor-2,LAMBDA_SENSOR,lambda sonda,4,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-lambda-sensor-3,LAMBDA_SENSOR,povecana potrosnja goriva,1,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-front-shocks-1,FRONT_SHOCKS,prednji amortizer curi,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-front-shocks-2,FRONT_SHOCKS,prednji kraj poskakuje,3,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-rear-shocks-1,REAR_SHOCKS,straznji amortizer curi,5,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds1-rear-shocks-2,REAR_SHOCKS,straznji kraj poskakuje,3,1,DIAGNOSTIC_DESIGN_NOT_VALIDATED
ac-ds2-hv_battery_replace-1,HV_BATTERY_REPLACE,pogonska baterija,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-hv_battery_replace-2,HV_BATTERY_REPLACE,neispravna visokonaponska baterija,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-onboard_charger-1,ONBOARD_CHARGER,ac punjenje ne radi,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-onboard_charger-2,ONBOARD_CHARGER,ugradjeni punjac,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-charge_port-1,CHARGE_PORT,ostecen prikljucak punjenja,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-charge_port-2,CHARGE_PORT,konektor punjenja,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-wiper_motor-1,WIPER_MOTOR,brisaci se ne pokrecu,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-wiper_motor-2,WIPER_MOTOR,motor brisaca,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-blower_motor-1,BLOWER_MOTOR,ventilator kabine ne radi,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-blower_motor-2,BLOWER_MOTOR,nema strujanja zraka,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-engine_oil_leak_test-1,ENGINE_OIL_LEAK_TEST,curenje ulja,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-engine_oil_leak_test-2,ENGINE_OIL_LEAK_TEST,trag ulja ispod motora,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-cooling_pressure_test-1,COOLING_PRESSURE_TEST,gubi rashladnu tekucinu,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-cooling_pressure_test-2,COOLING_PRESSURE_TEST,curenje antifriza,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-front_caliper-1,FRONT_CALIPER,prednja kocnica blokira,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-front_caliper-2,FRONT_CALIPER,zagrijavanje prednjeg kotaca,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-control_arm-1,CONTROL_ARM,lupanje ovjesa,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-control_arm-2,CONTROL_ARM,osteceno rame ovjesa,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-steering_rack-1,STEERING_RACK,lupanje letve upravljaca,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
ac-ds2-steering_rack-2,STEERING_RACK,nepravilan rad upravljaca,3,1,EDUCATIONAL_RULE_NOT_VALIDATED
