work_code,price_class,min_price_eur,max_price_eur,source_method
COOLANT,ECONOMY,75,100,COLLAPSED_OLD_MODEL_MEDIAN
COOLANT,STANDARD,80,120,COLLAPSED_OLD_MODEL_MEDIAN
COOLANT,PREMIUM,120,160,COLLAPSED_OLD_MODEL_MEDIAN
COOLANT,PERFORMANCE,180,220,COLLAPSED_OLD_MODEL_MEDIAN
COOLANT,EXOTIC,380,460,COLLAPSED_OLD_MODEL_MEDIAN
TIMING_BELT_PUMP,ECONOMY,360,440,HR_CALIBRATED_OLD_MODEL_RATIO
TIMING_BELT_PUMP,STANDARD,400,500,HR_CALIBRATED_OLD_MODEL_RATIO
TIMING_BELT_PUMP,PREMIUM,520,630,HR_CALIBRATED_OLD_MODEL_RATIO
TIMING_BELT_PUMP,PERFORMANCE,850,1040,HR_CALIBRATED_OLD_MODEL_RATIO
TIMING_BELT_PUMP,EXOTIC,1720,2060,HR_CALIBRATED_OLD_MODEL_RATIO
SPARK_PLUGS,ECONOMY,80,120,HR_CALIBRATED_OLD_MODEL_RATIO
SPARK_PLUGS,STANDARD,80,120,HR_CALIBRATED_OLD_MODEL_RATIO
SPARK_PLUGS,PREMIUM,180,220,HR_CALIBRATED_OLD_MODEL_RATIO
SPARK_PLUGS,PERFORMANCE,250,300,HR_CALIBRATED_OLD_MODEL_RATIO
SPARK_PLUGS,EXOTIC,530,650,HR_CALIBRATED_OLD_MODEL_RATIO
AUX_BELT,ECONOMY,110,150,COLLAPSED_OLD_MODEL_MEDIAN
AUX_BELT,STANDARD,130,170,COLLAPSED_OLD_MODEL_MEDIAN
AUX_BELT,PREMIUM,170,210,COLLAPSED_OLD_MODEL_MEDIAN
AUX_BELT,PERFORMANCE,270,330,COLLAPSED_OLD_MODEL_MEDIAN
AUX_BELT,EXOTIC,570,690,COLLAPSED_OLD_MODEL_MEDIAN
MANUAL_GEARBOX_OIL,ECONOMY,75,100,COLLAPSED_OLD_MODEL_MEDIAN
MANUAL_GEARBOX_OIL,STANDARD,80,120,COLLAPSED_OLD_MODEL_MEDIAN
MANUAL_GEARBOX_OIL,PREMIUM,110,150,COLLAPSED_OLD_MODEL_MEDIAN
MANUAL_GEARBOX_OIL,PERFORMANCE,170,210,COLLAPSED_OLD_MODEL_MEDIAN
MANUAL_GEARBOX_OIL,EXOTIC,320,400,COLLAPSED_OLD_MODEL_MEDIAN
AUTO_GEARBOX_OIL,ECONOMY,220,280,COLLAPSED_OLD_MODEL_MEDIAN
AUTO_GEARBOX_OIL,STANDARD,270,330,COLLAPSED_OLD_MODEL_MEDIAN
AUTO_GEARBOX_OIL,PREMIUM,400,480,COLLAPSED_OLD_MODEL_MEDIAN
AUTO_GEARBOX_OIL,PERFORMANCE,570,690,COLLAPSED_OLD_MODEL_MEDIAN
AUTO_GEARBOX_OIL,EXOTIC,1210,1450,COLLAPSED_OLD_MODEL_MEDIAN
FRONT_BRAKES,ECONOMY,80,110,HR_CALIBRATED_OLD_MODEL_RATIO
FRONT_BRAKES,STANDARD,90,130,HR_CALIBRATED_OLD_MODEL_RATIO
FRONT_BRAKES,PREMIUM,120,160,HR_CALIBRATED_OLD_MODEL_RATIO
FRONT_BRAKES,PERFORMANCE,170,220,HR_CALIBRATED_OLD_MODEL_RATIO
FRONT_BRAKES,EXOTIC,340,420,HR_CALIBRATED_OLD_MODEL_RATIO
REAR_BRAKES,ECONOMY,90,130,COLLAPSED_OLD_MODEL_MEDIAN
REAR_BRAKES,STANDARD,100,140,COLLAPSED_OLD_MODEL_MEDIAN
REAR_BRAKES,PREMIUM,130,170,COLLAPSED_OLD_MODEL_MEDIAN
REAR_BRAKES,PERFORMANCE,190,250,COLLAPSED_OLD_MODEL_MEDIAN
REAR_BRAKES,EXOTIC,370,450,COLLAPSED_OLD_MODEL_MEDIAN
FRONT_DISCS_PADS,ECONOMY,180,230,HR_CALIBRATED_OLD_MODEL_RATIO
FRONT_DISCS_PADS,STANDARD,200,260,HR_CALIBRATED_OLD_MODEL_RATIO
FRONT_DISCS_PADS,PREMIUM,270,330,HR_CALIBRATED_OLD_MODEL_RATIO
FRONT_DISCS_PADS,PERFORMANCE,410,500,HR_CALIBRATED_OLD_MODEL_RATIO
FRONT_DISCS_PADS,EXOTIC,810,980,HR_CALIBRATED_OLD_MODEL_RATIO
REAR_DISCS_PADS,ECONOMY,210,270,COLLAPSED_OLD_MODEL_MEDIAN
REAR_DISCS_PADS,STANDARD,240,300,COLLAPSED_OLD_MODEL_MEDIAN
REAR_DISCS_PADS,PREMIUM,320,380,COLLAPSED_OLD_MODEL_MEDIAN
REAR_DISCS_PADS,PERFORMANCE,460,560,COLLAPSED_OLD_MODEL_MEDIAN
REAR_DISCS_PADS,EXOTIC,910,1090,COLLAPSED_OLD_MODEL_MEDIAN
REAR_DRUM_SHOES,ECONOMY,130,170,COLLAPSED_OLD_MODEL_MEDIAN
REAR_DRUM_SHOES,STANDARD,130,170,COLLAPSED_OLD_MODEL_MEDIAN
REAR_DRUM_SHOES,PREMIUM,170,210,COLLAPSED_OLD_MODEL_MEDIAN
REAR_DRUM_SHOES,PERFORMANCE,190,250,COLLAPSED_OLD_MODEL_MEDIAN
REAR_DRUM_SHOES,EXOTIC,450,550,COLLAPSED_OLD_MODEL_MEDIAN
AC_COMPRESSOR,ECONOMY,500,600,COLLAPSED_OLD_MODEL_MEDIAN
AC_COMPRESSOR,STANDARD,550,670,COLLAPSED_OLD_MODEL_MEDIAN
AC_COMPRESSOR,PREMIUM,710,870,COLLAPSED_OLD_MODEL_MEDIAN
AC_COMPRESSOR,PERFORMANCE,1090,1310,COLLAPSED_OLD_MODEL_MEDIAN
AC_COMPRESSOR,EXOTIC,2310,2770,COLLAPSED_OLD_MODEL_MEDIAN
RADIATOR_FAN,ECONOMY,190,250,COLLAPSED_OLD_MODEL_MEDIAN
RADIATOR_FAN,STANDARD,220,280,COLLAPSED_OLD_MODEL_MEDIAN
RADIATOR_FAN,PREMIUM,300,360,COLLAPSED_OLD_MODEL_MEDIAN
RADIATOR_FAN,PERFORMANCE,480,580,COLLAPSED_OLD_MODEL_MEDIAN
RADIATOR_FAN,EXOTIC,1060,1260,COLLAPSED_OLD_MODEL_MEDIAN
AC_R134A,ECONOMY,40,70,HR_CALIBRATED_OLD_MODEL_RATIO
AC_R134A,STANDARD,50,80,HR_CALIBRATED_OLD_MODEL_RATIO
AC_R134A,PREMIUM,70,100,HR_CALIBRATED_OLD_MODEL_RATIO
AC_R134A,PERFORMANCE,90,130,HR_CALIBRATED_OLD_MODEL_RATIO
AC_R134A,EXOTIC,160,210,HR_CALIBRATED_OLD_MODEL_RATIO
AC_R1234YF,ECONOMY,85,110,HR_CALIBRATED_OLD_MODEL_RATIO
AC_R1234YF,STANDARD,90,130,HR_CALIBRATED_OLD_MODEL_RATIO
AC_R1234YF,PREMIUM,120,160,HR_CALIBRATED_OLD_MODEL_RATIO
AC_R1234YF,PERFORMANCE,160,200,HR_CALIBRATED_OLD_MODEL_RATIO
AC_R1234YF,EXOTIC,280,340,HR_CALIBRATED_OLD_MODEL_RATIO
BATTERY,ECONOMY,120,160,HR_CALIBRATED_OLD_MODEL_RATIO
BATTERY,STANDARD,150,190,HR_CALIBRATED_OLD_MODEL_RATIO
BATTERY,PREMIUM,210,270,HR_CALIBRATED_OLD_MODEL_RATIO
BATTERY,PERFORMANCE,300,360,HR_CALIBRATED_OLD_MODEL_RATIO
BATTERY,EXOTIC,660,800,HR_CALIBRATED_OLD_MODEL_RATIO
GLOW_PLUGS,ECONOMY,150,190,COLLAPSED_OLD_MODEL_MEDIAN
GLOW_PLUGS,STANDARD,160,200,COLLAPSED_OLD_MODEL_MEDIAN
GLOW_PLUGS,PREMIUM,190,250,COLLAPSED_OLD_MODEL_MEDIAN
GLOW_PLUGS,PERFORMANCE,390,470,COLLAPSED_OLD_MODEL_MEDIAN
GLOW_PLUGS,EXOTIC,920,1100,COLLAPSED_OLD_MODEL_MEDIAN
DIAGNOSIS,ECONOMY,25,45,HR_CALIBRATED_OLD_MODEL_RATIO
DIAGNOSIS,STANDARD,25,45,HR_CALIBRATED_OLD_MODEL_RATIO
DIAGNOSIS,PREMIUM,25,45,HR_CALIBRATED_OLD_MODEL_RATIO
DIAGNOSIS,PERFORMANCE,45,75,HR_CALIBRATED_OLD_MODEL_RATIO
DIAGNOSIS,EXOTIC,80,110,HR_CALIBRATED_OLD_MODEL_RATIO
STARTER,ECONOMY,210,270,COLLAPSED_OLD_MODEL_MEDIAN
STARTER,STANDARD,250,310,COLLAPSED_OLD_MODEL_MEDIAN
STARTER,PREMIUM,330,410,COLLAPSED_OLD_MODEL_MEDIAN
STARTER,PERFORMANCE,530,650,COLLAPSED_OLD_MODEL_MEDIAN
STARTER,EXOTIC,1160,1380,COLLAPSED_OLD_MODEL_MEDIAN
ALTERNATOR,ECONOMY,280,340,COLLAPSED_OLD_MODEL_MEDIAN
ALTERNATOR,STANDARD,320,400,COLLAPSED_OLD_MODEL_MEDIAN
ALTERNATOR,PREMIUM,430,530,COLLAPSED_OLD_MODEL_MEDIAN
ALTERNATOR,PERFORMANCE,700,860,COLLAPSED_OLD_MODEL_MEDIAN
ALTERNATOR,EXOTIC,1530,1830,COLLAPSED_OLD_MODEL_MEDIAN
TURBO,ECONOMY,680,820,COLLAPSED_OLD_MODEL_MEDIAN
TURBO,STANDARD,780,960,COLLAPSED_OLD_MODEL_MEDIAN
TURBO,PREMIUM,1040,1240,COLLAPSED_OLD_MODEL_MEDIAN
TURBO,PERFORMANCE,1650,1970,COLLAPSED_OLD_MODEL_MEDIAN
TURBO,EXOTIC,3660,4300,COLLAPSED_OLD_MODEL_MEDIAN
EGR_VALVE,ECONOMY,270,330,COLLAPSED_OLD_MODEL_MEDIAN
EGR_VALVE,STANDARD,310,370,COLLAPSED_OLD_MODEL_MEDIAN
EGR_VALVE,PREMIUM,400,500,COLLAPSED_OLD_MODEL_MEDIAN
EGR_VALVE,PERFORMANCE,650,790,COLLAPSED_OLD_MODEL_MEDIAN
EGR_VALVE,EXOTIC,1380,1660,COLLAPSED_OLD_MODEL_MEDIAN
DPF_CLEAN,ECONOMY,270,330,COLLAPSED_OLD_MODEL_MEDIAN
DPF_CLEAN,STANDARD,320,380,COLLAPSED_OLD_MODEL_MEDIAN
DPF_CLEAN,PREMIUM,400,480,COLLAPSED_OLD_MODEL_MEDIAN
DPF_CLEAN,PERFORMANCE,600,740,COLLAPSED_OLD_MODEL_MEDIAN
DPF_CLEAN,EXOTIC,1260,1500,COLLAPSED_OLD_MODEL_MEDIAN
DPF_REPLACEMENT,ECONOMY,590,730,COLLAPSED_OLD_MODEL_MEDIAN
DPF_REPLACEMENT,STANDARD,700,860,COLLAPSED_OLD_MODEL_MEDIAN
DPF_REPLACEMENT,PREMIUM,950,1130,COLLAPSED_OLD_MODEL_MEDIAN
DPF_REPLACEMENT,PERFORMANCE,1490,1790,COLLAPSED_OLD_MODEL_MEDIAN
DPF_REPLACEMENT,EXOTIC,3340,3920,COLLAPSED_OLD_MODEL_MEDIAN
DIESEL_INJECTOR,ECONOMY,280,340,COLLAPSED_OLD_MODEL_MEDIAN
DIESEL_INJECTOR,STANDARD,320,400,COLLAPSED_OLD_MODEL_MEDIAN
DIESEL_INJECTOR,PREMIUM,410,510,COLLAPSED_OLD_MODEL_MEDIAN
DIESEL_INJECTOR,PERFORMANCE,640,780,COLLAPSED_OLD_MODEL_MEDIAN
DIESEL_INJECTOR,EXOTIC,1370,1650,COLLAPSED_OLD_MODEL_MEDIAN
IGNITION_COIL,ECONOMY,45,75,COLLAPSED_OLD_MODEL_MEDIAN
IGNITION_COIL,STANDARD,55,85,COLLAPSED_OLD_MODEL_MEDIAN
IGNITION_COIL,PREMIUM,80,120,COLLAPSED_OLD_MODEL_MEDIAN
IGNITION_COIL,PERFORMANCE,140,180,COLLAPSED_OLD_MODEL_MEDIAN
IGNITION_COIL,EXOTIC,300,360,COLLAPSED_OLD_MODEL_MEDIAN
WHEEL_BEARING,ECONOMY,130,170,COLLAPSED_OLD_MODEL_MEDIAN
WHEEL_BEARING,STANDARD,150,190,COLLAPSED_OLD_MODEL_MEDIAN
WHEEL_BEARING,PREMIUM,180,240,COLLAPSED_OLD_MODEL_MEDIAN
WHEEL_BEARING,PERFORMANCE,230,280,COLLAPSED_OLD_MODEL_MEDIAN
WHEEL_BEARING,EXOTIC,380,460,COLLAPSED_OLD_MODEL_MEDIAN
FRONT_SHOCKS,ECONOMY,270,330,HR_CALIBRATED_OLD_MODEL_RATIO
FRONT_SHOCKS,STANDARD,300,360,HR_CALIBRATED_OLD_MODEL_RATIO
FRONT_SHOCKS,PREMIUM,380,460,HR_CALIBRATED_OLD_MODEL_RATIO
FRONT_SHOCKS,PERFORMANCE,460,570,HR_CALIBRATED_OLD_MODEL_RATIO
FRONT_SHOCKS,EXOTIC,800,970,HR_CALIBRATED_OLD_MODEL_RATIO
REAR_SHOCKS,ECONOMY,180,230,HR_CALIBRATED_OLD_MODEL_RATIO
REAR_SHOCKS,STANDARD,200,260,HR_CALIBRATED_OLD_MODEL_RATIO
REAR_SHOCKS,PREMIUM,270,330,HR_CALIBRATED_OLD_MODEL_RATIO
REAR_SHOCKS,PERFORMANCE,330,400,HR_CALIBRATED_OLD_MODEL_RATIO
REAR_SHOCKS,EXOTIC,570,700,HR_CALIBRATED_OLD_MODEL_RATIO
CLUTCH_KIT,ECONOMY,420,520,HR_CALIBRATED_OLD_MODEL_RATIO
CLUTCH_KIT,STANDARD,450,550,HR_CALIBRATED_OLD_MODEL_RATIO
CLUTCH_KIT,PREMIUM,580,710,HR_CALIBRATED_OLD_MODEL_RATIO
CLUTCH_KIT,PERFORMANCE,800,980,HR_CALIBRATED_OLD_MODEL_RATIO
CLUTCH_KIT,EXOTIC,1460,1750,HR_CALIBRATED_OLD_MODEL_RATIO
CLUTCH_DMF,ECONOMY,740,900,COLLAPSED_OLD_MODEL_MEDIAN
CLUTCH_DMF,STANDARD,810,990,COLLAPSED_OLD_MODEL_MEDIAN
CLUTCH_DMF,PREMIUM,1130,1350,COLLAPSED_OLD_MODEL_MEDIAN
CLUTCH_DMF,PERFORMANCE,1650,1970,COLLAPSED_OLD_MODEL_MEDIAN
CLUTCH_DMF,EXOTIC,3210,3770,COLLAPSED_OLD_MODEL_MEDIAN
WATER_PUMP,ECONOMY,200,260,COLLAPSED_OLD_MODEL_MEDIAN
WATER_PUMP,STANDARD,210,270,COLLAPSED_OLD_MODEL_MEDIAN
WATER_PUMP,PREMIUM,260,320,COLLAPSED_OLD_MODEL_MEDIAN
WATER_PUMP,PERFORMANCE,390,470,COLLAPSED_OLD_MODEL_MEDIAN
WATER_PUMP,EXOTIC,690,850,COLLAPSED_OLD_MODEL_MEDIAN
THERMOSTAT,ECONOMY,140,180,COLLAPSED_OLD_MODEL_MEDIAN
THERMOSTAT,STANDARD,150,190,COLLAPSED_OLD_MODEL_MEDIAN
THERMOSTAT,PREMIUM,190,250,COLLAPSED_OLD_MODEL_MEDIAN
THERMOSTAT,PERFORMANCE,300,360,COLLAPSED_OLD_MODEL_MEDIAN
THERMOSTAT,EXOTIC,550,670,COLLAPSED_OLD_MODEL_MEDIAN
LAMBDA_SENSOR,ECONOMY,90,130,COLLAPSED_OLD_MODEL_MEDIAN
LAMBDA_SENSOR,STANDARD,110,150,COLLAPSED_OLD_MODEL_MEDIAN
LAMBDA_SENSOR,PREMIUM,150,190,COLLAPSED_OLD_MODEL_MEDIAN
LAMBDA_SENSOR,PERFORMANCE,240,300,COLLAPSED_OLD_MODEL_MEDIAN
LAMBDA_SENSOR,EXOTIC,530,650,COLLAPSED_OLD_MODEL_MEDIAN
SCHEDULED_INSPECTION,ECONOMY,40,70,HR_CALIBRATED_OLD_MODEL_RATIO
SCHEDULED_INSPECTION,STANDARD,40,70,HR_CALIBRATED_OLD_MODEL_RATIO
SCHEDULED_INSPECTION,PREMIUM,50,80,HR_CALIBRATED_OLD_MODEL_RATIO
SCHEDULED_INSPECTION,PERFORMANCE,75,100,HR_CALIBRATED_OLD_MODEL_RATIO
SCHEDULED_INSPECTION,EXOTIC,130,170,HR_CALIBRATED_OLD_MODEL_RATIO
BRAKE_FLUID_CHECK,ECONOMY,10,30,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_FLUID_CHECK,STANDARD,10,30,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_FLUID_CHECK,PREMIUM,20,40,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_FLUID_CHECK,PERFORMANCE,20,40,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_FLUID_CHECK,EXOTIC,45,75,COLLAPSED_OLD_MODEL_MEDIAN
WIPER_REPLACE,ECONOMY,30,50,COLLAPSED_OLD_MODEL_MEDIAN
WIPER_REPLACE,STANDARD,30,50,COLLAPSED_OLD_MODEL_MEDIAN
WIPER_REPLACE,PREMIUM,45,75,COLLAPSED_OLD_MODEL_MEDIAN
WIPER_REPLACE,PERFORMANCE,55,85,COLLAPSED_OLD_MODEL_MEDIAN
WIPER_REPLACE,EXOTIC,120,160,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_ROTATION,ECONOMY,10,30,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_ROTATION,STANDARD,10,30,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_ROTATION,PREMIUM,20,40,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_ROTATION,PERFORMANCE,20,40,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_ROTATION,EXOTIC,45,75,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_PRESSURE_CHECK,ECONOMY,5,20,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_PRESSURE_CHECK,STANDARD,5,20,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_PRESSURE_CHECK,PREMIUM,5,20,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_PRESSURE_CHECK,PERFORMANCE,10,30,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_PRESSURE_CHECK,EXOTIC,20,40,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_MOUNT_BALANCE,ECONOMY,30,50,HR_CALIBRATED_OLD_MODEL_RATIO
TYRE_MOUNT_BALANCE,STANDARD,30,50,HR_CALIBRATED_OLD_MODEL_RATIO
TYRE_MOUNT_BALANCE,PREMIUM,30,50,HR_CALIBRATED_OLD_MODEL_RATIO
TYRE_MOUNT_BALANCE,PERFORMANCE,50,80,HR_CALIBRATED_OLD_MODEL_RATIO
TYRE_MOUNT_BALANCE,EXOTIC,90,130,HR_CALIBRATED_OLD_MODEL_RATIO
TYRE_REPLACE_SET,ECONOMY,290,350,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_REPLACE_SET,STANDARD,330,410,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_REPLACE_SET,PREMIUM,460,560,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_REPLACE_SET,PERFORMANCE,580,720,COLLAPSED_OLD_MODEL_MEDIAN
TYRE_REPLACE_SET,EXOTIC,1100,1320,COLLAPSED_OLD_MODEL_MEDIAN
WHEEL_ALIGNMENT,ECONOMY,40,70,HR_CALIBRATED_OLD_MODEL_RATIO
WHEEL_ALIGNMENT,STANDARD,40,70,HR_CALIBRATED_OLD_MODEL_RATIO
WHEEL_ALIGNMENT,PREMIUM,40,70,HR_CALIBRATED_OLD_MODEL_RATIO
WHEEL_ALIGNMENT,PERFORMANCE,75,110,HR_CALIBRATED_OLD_MODEL_RATIO
WHEEL_ALIGNMENT,EXOTIC,140,180,HR_CALIBRATED_OLD_MODEL_RATIO
AC_DISINFECTION,ECONOMY,25,45,HR_CALIBRATED_OLD_MODEL_RATIO
AC_DISINFECTION,STANDARD,25,45,HR_CALIBRATED_OLD_MODEL_RATIO
AC_DISINFECTION,PREMIUM,25,45,HR_CALIBRATED_OLD_MODEL_RATIO
AC_DISINFECTION,PERFORMANCE,45,75,HR_CALIBRATED_OLD_MODEL_RATIO
AC_DISINFECTION,EXOTIC,80,110,HR_CALIBRATED_OLD_MODEL_RATIO
BATTERY_TEST,ECONOMY,10,30,COLLAPSED_OLD_MODEL_MEDIAN
BATTERY_TEST,STANDARD,10,30,COLLAPSED_OLD_MODEL_MEDIAN
BATTERY_TEST,PREMIUM,20,40,COLLAPSED_OLD_MODEL_MEDIAN
BATTERY_TEST,PERFORMANCE,20,40,COLLAPSED_OLD_MODEL_MEDIAN
BATTERY_TEST,EXOTIC,45,75,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_INSPECTION,ECONOMY,20,40,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_INSPECTION,STANDARD,20,40,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_INSPECTION,PREMIUM,20,40,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_INSPECTION,PERFORMANCE,35,65,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_INSPECTION,EXOTIC,65,95,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_CALIPER_CLEAN,ECONOMY,55,85,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_CALIPER_CLEAN,STANDARD,65,95,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_CALIPER_CLEAN,PREMIUM,75,100,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_CALIPER_CLEAN,PERFORMANCE,90,130,COLLAPSED_OLD_MODEL_MEDIAN
BRAKE_CALIPER_CLEAN,EXOTIC,150,190,COLLAPSED_OLD_MODEL_MEDIAN
BODY_CORROSION_CHECK,ECONOMY,20,40,COLLAPSED_OLD_MODEL_MEDIAN
BODY_CORROSION_CHECK,STANDARD,20,40,COLLAPSED_OLD_MODEL_MEDIAN
BODY_CORROSION_CHECK,PREMIUM,20,40,COLLAPSED_OLD_MODEL_MEDIAN
BODY_CORROSION_CHECK,PERFORMANCE,35,65,COLLAPSED_OLD_MODEL_MEDIAN
BODY_CORROSION_CHECK,EXOTIC,65,95,COLLAPSED_OLD_MODEL_MEDIAN
HYBRID_BATTERY_FILTER,ECONOMY,35,65,COLLAPSED_OLD_MODEL_MEDIAN
HYBRID_BATTERY_FILTER,STANDARD,45,75,COLLAPSED_OLD_MODEL_MEDIAN
HYBRID_BATTERY_FILTER,PREMIUM,55,85,COLLAPSED_OLD_MODEL_MEDIAN
HYBRID_BATTERY_FILTER,PERFORMANCE,65,95,COLLAPSED_OLD_MODEL_MEDIAN
HYBRID_BATTERY_FILTER,EXOTIC,120,160,COLLAPSED_OLD_MODEL_MEDIAN
TRACTION_BATTERY_TEST,ECONOMY,75,100,COLLAPSED_OLD_MODEL_MEDIAN
TRACTION_BATTERY_TEST,STANDARD,75,100,COLLAPSED_OLD_MODEL_MEDIAN
TRACTION_BATTERY_TEST,PREMIUM,75,100,COLLAPSED_OLD_MODEL_MEDIAN
TRACTION_BATTERY_TEST,PERFORMANCE,130,170,COLLAPSED_OLD_MODEL_MEDIAN
TRACTION_BATTERY_TEST,EXOTIC,220,280,COLLAPSED_OLD_MODEL_MEDIAN
EV_DRIVE_FLUID,ECONOMY,100,140,COLLAPSED_OLD_MODEL_MEDIAN
EV_DRIVE_FLUID,STANDARD,110,150,COLLAPSED_OLD_MODEL_MEDIAN
EV_DRIVE_FLUID,PREMIUM,140,180,COLLAPSED_OLD_MODEL_MEDIAN
EV_DRIVE_FLUID,PERFORMANCE,180,220,COLLAPSED_OLD_MODEL_MEDIAN
EV_DRIVE_FLUID,EXOTIC,310,370,COLLAPSED_OLD_MODEL_MEDIAN
DIFFERENTIAL_OIL,ECONOMY,90,130,COLLAPSED_OLD_MODEL_MEDIAN
DIFFERENTIAL_OIL,STANDARD,110,150,COLLAPSED_OLD_MODEL_MEDIAN
DIFFERENTIAL_OIL,PREMIUM,150,190,COLLAPSED_OLD_MODEL_MEDIAN
DIFFERENTIAL_OIL,PERFORMANCE,200,260,COLLAPSED_OLD_MODEL_MEDIAN
DIFFERENTIAL_OIL,EXOTIC,410,510,COLLAPSED_OLD_MODEL_MEDIAN
TRANSFER_CASE_OIL,ECONOMY,90,130,COLLAPSED_OLD_MODEL_MEDIAN
TRANSFER_CASE_OIL,STANDARD,100,140,COLLAPSED_OLD_MODEL_MEDIAN
TRANSFER_CASE_OIL,PREMIUM,150,190,COLLAPSED_OLD_MODEL_MEDIAN
TRANSFER_CASE_OIL,PERFORMANCE,200,260,COLLAPSED_OLD_MODEL_MEDIAN
TRANSFER_CASE_OIL,EXOTIC,400,480,COLLAPSED_OLD_MODEL_MEDIAN
ENGINE_OIL_LEAK_TEST,ECONOMY,45,75,COLLAPSED_OLD_MODEL_MEDIAN
ENGINE_OIL_LEAK_TEST,STANDARD,45,75,COLLAPSED_OLD_MODEL_MEDIAN
ENGINE_OIL_LEAK_TEST,PREMIUM,45,75,COLLAPSED_OLD_MODEL_MEDIAN
ENGINE_OIL_LEAK_TEST,PERFORMANCE,80,120,COLLAPSED_OLD_MODEL_MEDIAN
ENGINE_OIL_LEAK_TEST,EXOTIC,150,190,COLLAPSED_OLD_MODEL_MEDIAN
COOLING_PRESSURE_TEST,ECONOMY,30,50,COLLAPSED_OLD_MODEL_MEDIAN
COOLING_PRESSURE_TEST,STANDARD,30,50,COLLAPSED_OLD_MODEL_MEDIAN
