code,name,work_category,catalog_category,interval_km,interval_months
REAR_SHOCKS,Stražnji amortizeri - par,REPAIR,SUSPENSION_STEERING,,
CLUTCH_KIT,Zamjena kompleta spojke,REPAIR,TRANSMISSION,,
CLUTCH_DMF,Komplet spojke i dvomaseni zamašnjak,REPAIR,TRANSMISSION,,
WATER_PUMP,Zamjena vodene pumpe motora,REPAIR,CLIMATE_COOLING,,
THERMOSTAT,Zamjena termostata motora,REPAIR,CLIMATE_COOLING,,
LAMBDA_SENSOR,Zamjena jedne lambda sonde,REPAIR,ENGINE,,
SCHEDULED_INSPECTION,Redovni servisni pregled prema planu proizvođača,MAINTENANCE,REGULAR_MAINTENANCE,15000,12
BRAKE_FLUID_CHECK,Provjera stanja kočione tekućine,MAINTENANCE,REGULAR_MAINTENANCE,,12
WIPER_REPLACE,Zamjena prednjih metlica brisača - par,MAINTENANCE,REGULAR_MAINTENANCE,,12
TYRE_ROTATION,Rotacija kotača - kompatibilne dimenzije,MAINTENANCE,TYRES_WHEELS,10000,12
TYRE_PRESSURE_CHECK,Provjera tlaka i stanja guma,MAINTENANCE,TYRES_WHEELS,,1
TYRE_MOUNT_BALANCE,Montaža i balansiranje četiri gume,MAINTENANCE,TYRES_WHEELS,15000,12
TYRE_REPLACE_SET,Zamjena kompleta četiriju guma,MAINTENANCE,TYRES_WHEELS,45000,48
WHEEL_ALIGNMENT,Kontrola i podešavanje geometrije kotača,MAINTENANCE,TYRES_WHEELS,20000,24
AC_DISINFECTION,Dezinfekcija ventilacijskog sustava,MAINTENANCE,CLIMATE_COOLING,,12
BATTERY_TEST,Test niskonaponskog akumulatora,MAINTENANCE,REGULAR_MAINTENANCE,,12
BRAKE_INSPECTION,Pregled kočnica,MAINTENANCE,REGULAR_MAINTENANCE,15000,12
BRAKE_CALIPER_CLEAN,Čišćenje i podmazivanje kočionih čeljusti,MAINTENANCE,BRAKES,30000,24
BODY_CORROSION_CHECK,Pregled podvozja i korozije,MAINTENANCE,REGULAR_MAINTENANCE,,12
HYBRID_BATTERY_FILTER,Čišćenje ili zamjena filtra hlađenja hibridne baterije,MAINTENANCE,MAJOR_SERVICE,30000,24
TRACTION_BATTERY_TEST,Dijagnostika stanja pogonske baterije,MAINTENANCE,MAJOR_SERVICE,,24
EV_DRIVE_FLUID,Zamjena ulja reduktora električnog pogona,MAINTENANCE,MAJOR_SERVICE,100000,60
DIFFERENTIAL_OIL,Zamjena ulja zasebnog diferencijala,MAINTENANCE,MAJOR_SERVICE,60000,48
TRANSFER_CASE_OIL,Zamjena ulja razvodnika pogona,MAINTENANCE,MAJOR_SERVICE,60000,48
ENGINE_OIL_LEAK_TEST,Dijagnostika curenja motornog ulja,REPAIR,DIAGNOSTICS,,
COOLING_PRESSURE_TEST,Ispitivanje nepropusnosti hlađenja motora,REPAIR,DIAGNOSTICS,,
OIL_PAN_GASKET,Zamjena brtve ili brtvljenje kartera,REPAIR,ENGINE,,
VALVE_COVER_GASKET,Zamjena brtve poklopca ventila,REPAIR,ENGINE,,
ENGINE_MOUNT,Zamjena jednog nosača motora,REPAIR,ENGINE,,
ENGINE_REBUILD,Obnova ili zamjena motora,REPAIR,ENGINE,,
HEAD_GASKET,Popravak brtve glave motora,REPAIR,ENGINE,,
TIMING_CHAIN,Zamjena kompleta razvodnog lanca,REPAIR,ENGINE,,
AUX_TENSIONER,Zamjena natezača pomoćnog remena,REPAIR,ENGINE,,
RADIATOR,Zamjena hladnjaka rashladne tekućine motora,REPAIR,CLIMATE_COOLING,,
COOLANT_HOSE,Zamjena jednog crijeva hlađenja motora,REPAIR,CLIMATE_COOLING,,
MAF_SENSOR,Zamjena mjerača protoka zraka,REPAIR,ENGINE,,
MAP_SENSOR,Zamjena senzora tlaka usisa,REPAIR,ENGINE,,
CRANKSHAFT_SENSOR,Zamjena senzora položaja radilice,REPAIR,ENGINE,,
CAMSHAFT_SENSOR,Zamjena senzora položaja bregaste,REPAIR,ENGINE,,
THROTTLE_BODY,Zamjena kućišta zaklopke usisa,REPAIR,ENGINE,,
PETROL_INJECTOR,Zamjena jednog benzinskog injektora,REPAIR,ENGINE,,
FUEL_PUMP,Zamjena niskotlačne pumpe goriva,REPAIR,ENGINE,,
HIGH_PRESSURE_PUMP,Zamjena visokotlačne pumpe goriva,REPAIR,ENGINE,,
DIESEL_INJECTOR_SEAL,Zamjena brtve jednog dizelskog injektora,REPAIR,ENGINE,,
GLOW_CONTROLLER,Zamjena upravljačke jedinice grijača,REPAIR,ENGINE,,
TURBO_HOSE,Zamjena jednog crijeva turbopunjenja,REPAIR,ENGINE,,
EXHAUST_MUFFLER,Zamjena završnog lonca ispuha,REPAIR,EXHAUST_EMISSIONS,,
CATALYTIC_CONVERTER,Zamjena katalizatora,REPAIR,EXHAUST_EMISSIONS,,
GPF_REPLACEMENT,Zamjena benzinskog filtra čestica,REPAIR,EXHAUST_EMISSIONS,,
DPF_PRESSURE_SENSOR,Zamjena senzora diferencijalnog tlaka DPF-a,REPAIR,EXHAUST_EMISSIONS,,
NOX_SENSOR,Zamjena jednog NOx senzora,REPAIR,EXHAUST_EMISSIONS,,
ADBLUE_PUMP,Popravak ili zamjena AdBlue modula,REPAIR,EXHAUST_EMISSIONS,,
FRONT_CALIPER,Zamjena jedne prednje kočione čeljusti,REPAIR,BRAKES,,
REAR_CALIPER,Zamjena jedne stražnje kočione čeljusti,REPAIR,BRAKES,,
BRAKE_HOSE,Zamjena jednog fleksibilnog kočionog crijeva,REPAIR,BRAKES,,
BRAKE_MASTER_CYLINDER,Zamjena glavnog kočionog cilindra,REPAIR,BRAKES,,
ABS_SENSOR,Zamjena jednog ABS senzora,REPAIR,ELECTRICAL,,
ABS_HYDRAULIC_UNIT,Popravak ABS/ESP hidraulične jedinice,REPAIR,BRAKES,,
PARKING_BRAKE_CABLE,Zamjena sajle parkirne kočnice,REPAIR,BRAKES,,
CONTROL_ARM,Zamjena jednog prednjeg ramena ovjesa,REPAIR,SUSPENSION_STEERING,,
BALL_JOINT,Zamjena jednog kuglastog zgloba,REPAIR,SUSPENSION_STEERING,,
STABILIZER_LINK,Zamjena jedne spone stabilizatora,REPAIR,SUSPENSION_STEERING,,
STEERING_TIE_ROD,Zamjena jednog krajnika upravljača,REPAIR,SUSPENSION_STEERING,,
STEERING_RACK,Popravak ili zamjena letve upravljača,REPAIR,SUSPENSION_STEERING,,
COIL_SPRINGS_AXLE,Zamjena opruga na jednoj osovini,REPAIR,SUSPENSION_STEERING,,
STRUT_TOP_MOUNT,Zamjena jednog gornjeg ležaja amortizera,REPAIR,SUSPENSION_STEERING,,
CV_JOINT,Zamjena jednog homokinetičkog zgloba,REPAIR,SUSPENSION_STEERING,,
CV_BOOT,Zamjena jedne manžete poluosovine,REPAIR,SUSPENSION_STEERING,,
TRANSMISSION_REBUILD,Popravak ili zamjena mjenjača,REPAIR,TRANSMISSION,,
WINDOW_REGULATOR,Zamjena podizača jednog prozora,REPAIR,ELECTRICAL,,
WIPER_MOTOR,Zamjena motora prednjih brisača,REPAIR,ELECTRICAL,,
DOOR_LOCK_ACTUATOR,Zamjena aktuatora brave vrata,REPAIR,ELECTRICAL,,
BLOWER_MOTOR,Zamjena ventilatora kabine,REPAIR,CLIMATE_COOLING,,
BLOWER_CONTROLLER,Zamjena regulatora ventilatora kabine,REPAIR,CLIMATE_COOLING,,
AC_CONDENSER,Zamjena kondenzatora klime,REPAIR,CLIMATE_COOLING,,
WINDSCREEN_REPLACE,Zamjena vjetrobranskog stakla,REPAIR,BODY_GLASS,,
ADAS_CALIBRATION,Kalibracija kamere ili radara asistencije,REPAIR,DIAGNOSTICS,,
HEADLAMP_UNIT,Zamjena jednog prednjeg svjetla,REPAIR,ELECTRICAL,,
TPMS_SENSOR,Zamjena jednog senzora tlaka u gumi,REPAIR,TYRES_WHEELS,,
HV_BATTERY_REPLACE,Zamjena pogonske baterije,REPAIR,ELECTRICAL,,
EV_DRIVE_UNIT,Zamjena jednog električnog pogonskog sklopa,REPAIR,ELECTRICAL,,
ONBOARD_CHARGER,Zamjena ugrađenog AC punjača,REPAIR,ELECTRICAL,,
DC_DC_CONVERTER,Zamjena DC/DC pretvarača,REPAIR,ELECTRICAL,,
CHARGE_PORT,Popravak ili zamjena priključka punjenja,REPAIR,ELECTRICAL,,
HV_INVERTER,Popravak ili zamjena pogonskog invertera,REPAIR,ELECTRICAL,,
HV_ISOLATION_TEST,Dijagnostika izolacije visokonaponskog sustava,REPAIR,DIAGNOSTICS,,
HV_COOLANT,Servis rashladne tekućine pogonske baterije,MAINTENANCE,MAJOR_SERVICE,100000,60
