make,model,generation,reason
JAC,Sunray,,NO_GENERATIONS
JAC,T6,,NO_GENERATIONS
JAC,T8,,NO_GENERATIONS
Jetour,Dashing,,NO_GENERATIONS
Jetour,T2,,NO_GENERATIONS
Jetour,X70,,NO_GENERATIONS
Jetour,X90,,NO_GENERATIONS
Kia,cee'd,cee'd (2018),NO_ENGINE_VARIANT
Kia,EV5,EV5 (2025),NO_ENGINE_VARIANT
Kia,K4,K4 (2024),NO_ENGINE_VARIANT
Koenigsegg,Sadairs Spear,Sadairs Spear (2025),NO_ENGINE_VARIANT
Lamborghini,350 GTS,,NO_GENERATIONS
Leapmotor,C01,,NO_GENERATIONS
Leapmotor,C10,,NO_GENERATIONS
Leapmotor,C11,,NO_GENERATIONS
Leapmotor,T03,,NO_GENERATIONS
Li Auto,L6,,NO_GENERATIONS
Li Auto,L7,,NO_GENERATIONS
Li Auto,L8,,NO_GENERATIONS
Li Auto,L9,,NO_GENERATIONS
Li Auto,Li One,,NO_GENERATIONS
Li Auto,Mega,,NO_GENERATIONS
Lightyear,Lightyear 2,Lightyear 2 (2023),NO_ENGINE_VARIANT
Lotus,Emeya,Emeya (2023),NO_ENGINE_VARIANT
Lynk & Co,01,,NO_GENERATIONS
Lynk & Co,02,,NO_GENERATIONS
Lynk & Co,03,,NO_GENERATIONS
Lynk & Co,05,,NO_GENERATIONS
Lynk & Co,06,,NO_GENERATIONS
Lynk & Co,09,,NO_GENERATIONS
McLaren,F1 GT,,NO_GENERATIONS
McLaren,F1 LM,,NO_GENERATIONS
Mercedes-AMG,E-Class,E-Class (2016),NO_ENGINE_VARIANT
Mercedes-Benz,MERCEDES BENZ E-Klasse and predecessors,MERCEDES BENZ E-Klasse and predecessors (1965),NO_ENGINE_VARIANT
Mercedes-Benz,MERCEDES BENZ EQS,MERCEDES BENZ EQS (2026),NO_ENGINE_VARIANT
Mercedes-Benz,MERCEDES BENZ S-Class Maybach,MERCEDES BENZ S-Class Maybach (2026),NO_ENGINE_VARIANT
Moskvitch,2140,,NO_GENERATIONS
Moskvitch,2141,,NO_GENERATIONS
Moskvitch,3,,NO_GENERATIONS
Moskvitch,412,,NO_GENERATIONS
Nissan,Juke EV,Juke EV (2026),NO_ENGINE_VARIANT
Nissan,Micra,Micra 5 Doors (2020),NO_ENGINE_VARIANT
Nissan,X-Trail,X-Trail (2026),NO_ENGINE_VARIANT
Ora,Black Cat,,NO_GENERATIONS
Ora,Funky Cat,,NO_GENERATIONS
Ora,Good Cat,,NO_GENERATIONS
Ora,Lightning Cat,,NO_GENERATIONS
Peugeot,408,408 Fastback (2026),NO_ENGINE_VARIANT
Peugeot,508,508 (2020),NO_ENGINE_VARIANT
Porsche,911 Turbo S,911 Turbo S Cabriolet (2025),NO_ENGINE_VARIANT
Renault,Boreal,Boreal (2025),NO_ENGINE_VARIANT
Rivian,R2,R2 (2024),NO_ENGINE_VARIANT
Rivian,R3,R3 (2024),NO_ENGINE_VARIANT
Rivian,R3X,R3X (2024),NO_ENGINE_VARIANT
Rolls-Royce,Arcadia,Arcadia (2024),NO_ENGINE_VARIANT
Rolls-Royce,La Rose Noire,La Rose Noire (2023),NO_ENGINE_VARIANT
Rolls-Royce,Spectre,Spectre (2025),NO_ENGINE_VARIANT
Saipa,Pride,,NO_GENERATIONS
Saipa,Quick,,NO_GENERATIONS
Saipa,Saba,,NO_GENERATIONS
Saipa,Saina,,NO_GENERATIONS
Saipa,Shahin,,NO_GENERATIONS
Saipa,Tiba,,NO_GENERATIONS
Scout,MOTORS Terra,MOTORS Terra (2024),NO_ENGINE_VARIANT
Scout,MOTORS Traveler,MOTORS Traveler (2024),NO_ENGINE_VARIANT
Smart,Roadster Brabus,,NO_GENERATIONS
Smart,Roadster Coupe Brabus,,NO_GENERATIONS
Speranza,A113,,NO_GENERATIONS
Speranza,A213,,NO_GENERATIONS
Speranza,A516,,NO_GENERATIONS
Speranza,A620,,NO_GENERATIONS
Speranza,Envy,,NO_GENERATIONS
Speranza,M11,,NO_GENERATIONS
Speranza,M12,,NO_GENERATIONS
Speranza,Tiggo,,NO_GENERATIONS
Tank,Tank 300,,NO_GENERATIONS
Tank,Tank 400,,NO_GENERATIONS
Tank,Tank 500,,NO_GENERATIONS
Tank,Tank 700,,NO_GENERATIONS
Toyota,Land Cruiser / Prado,Land Cruiser / Prado (2020),NO_ENGINE_VARIANT
Toyota,Yaris Cross,Yaris Cross (2026),NO_ENGINE_VARIANT
Trabant,1.1,,NO_GENERATIONS
Trabant,601,,NO_GENERATIONS
UAZ,452,,NO_GENERATIONS
UAZ,469,,NO_GENERATIONS
UAZ,Hunter,,NO_GENERATIONS
UAZ,Patriot,,NO_GENERATIONS
Volkswagen,Golf GTI / GTD / GTE,Golf GTI / GTD / GTE (2024),NO_ENGINE_VARIANT
Volkswagen,T-Roc,T-Roc Cabriolet (2021),NO_ENGINE_VARIANT
Volkswagen,T-Roc R,T-Roc R (2021),NO_ENGINE_VARIANT
Volvo,S90,S90 (2025),NO_ENGINE_VARIANT
Wartburg,1.3,,NO_GENERATIONS
Wartburg,353,,NO_GENERATIONS
Wiesmann,GT MF4-CS,,NO_GENERATIONS
Wuling,Air EV,,NO_GENERATIONS
Wuling,Bingo,,NO_GENERATIONS
Wuling,Hongguang,,NO_GENERATIONS
Wuling,Hongguang Mini EV,,NO_GENERATIONS
Yugo,45,,NO_GENERATIONS
Yugo,55,,NO_GENERATIONS
Yugo,GV,,NO_GENERATIONS
Yugo,Tempo,,NO_GENERATIONS
Zastava,101,,NO_GENERATIONS
Zastava,128,,NO_GENERATIONS
Zastava,750,,NO_GENERATIONS
Zastava,Florida,,NO_GENERATIONS
Zastava,Koral,,NO_GENERATIONS
Zender,Escape 6,,NO_GENERATIONS
Zender,Fact 4,,NO_GENERATIONS
Zender,Fact 4 BiTurbo,,NO_GENERATIONS
Zender,Progetto 5,,NO_GENERATIONS
Zender,Straight 8,,NO_GENERATIONS
Zender,Thirty 7,,NO_GENERATIONS
